City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wusong,30.95,117.7833,23.68,87,86,2.31,CN,1718023732
1,tsiombe,-25.3,45.4833,20.49,60,67,7.04,MG,1718023694
2,adamstown,-25.066,-130.1015,22.28,82,100,6.1,PN,1718023617
3,hermanus,-34.4187,19.2345,23.78,47,1,2.45,ZA,1718023615
4,acapulco de juarez,16.8634,-99.8901,26.9,78,40,4.12,MX,1718023732
5,namdrik,5.5994,168.1028,28.88,78,8,7.32,MH,1718023733
6,port lincoln,-34.7333,135.8667,16.69,63,100,5.27,AU,1718023733
7,ribeira grande,38.5167,-28.7,21.54,73,75,4.63,PT,1718023627
8,murghob,38.1702,73.9667,8.54,43,93,2.96,TJ,1718023733
9,bethel,41.3712,-73.414,18.03,74,20,2.57,US,1718023733
10,fale old settlement,-9.3852,-171.2468,28.54,77,31,8.12,TK,1718023677
11,revda,56.801,59.9303,21.05,45,75,4.82,RU,1718023733
12,grytviken,-54.2811,-36.5092,-5.97,76,35,3.49,GS,1718023622
13,touros,-5.1989,-35.4608,28.8,65,60,8.13,BR,1718023733
14,colonia,50.9333,6.95,15.79,79,75,3.6,DE,1718023680
15,blackmans bay,-43.0167,147.3167,6.07,86,100,4.43,AU,1718023615
16,albany,42.6001,-73.9662,16.43,76,54,0.89,US,1718023539
17,crane,31.3974,-102.3501,22.43,77,0,4.11,US,1718023695
18,guiuan,11.0333,125.7247,28.76,78,96,2.59,PH,1718023734
19,jining,35.405,116.5814,31.39,33,100,6.6,CN,1718023734
20,uturoa,-16.7333,-151.4333,25.58,78,79,6.63,PF,1718023734
21,saldanha,-33.0117,17.9442,27.03,42,100,8.87,ZA,1718023734
22,port-aux-francais,-49.35,70.2167,3.3,84,99,17.28,TF,1718023617
23,dunedin,-45.8742,170.5036,6.0,87,99,4.47,NZ,1718023576
24,ushuaia,-54.8,-68.3,-2.21,93,75,2.06,AR,1718023579
25,cova figueira,14.8905,-24.2934,18.83,75,0,6.76,CV,1718023734
26,kirensk,57.7853,108.1119,18.33,48,100,1.8,RU,1718023734
27,new norfolk,-42.7826,147.0587,6.72,77,100,1.39,AU,1718023734
28,puerto natales,-51.7236,-72.4875,0.25,100,100,1.54,CL,1718023317
29,galliano,29.4422,-90.2992,27.22,83,0,1.54,US,1718023626
30,punta arenas,-53.15,-70.9167,1.06,93,100,1.54,CL,1718023734
31,zeya,53.75,127.2667,13.16,67,100,2.53,RU,1718023734
32,crucecita,-28.95,-58.9833,21.91,70,0,4.25,AR,1718023734
33,margaret river,-33.95,115.0667,16.73,55,100,8.57,AU,1718023620
34,dori,14.0354,-0.0345,40.71,23,6,5.32,BF,1718023713
35,badger,64.8,-147.5333,17.95,63,40,0.0,US,1718023734
36,remire-montjoly,4.9167,-52.2667,30.02,79,75,1.54,GF,1718023734
37,tianchang,37.9981,114.0156,22.83,58,90,3.99,CN,1718023734
38,tarawa,1.419,172.984,29.05,84,40,2.57,KI,1718023734
39,waitangi,-43.9535,-176.5597,11.01,97,100,2.24,NZ,1718023734
40,ilulissat,69.2167,-51.1,1.01,80,75,4.12,GL,1718023626
41,iqaluit,63.7506,-68.5145,0.85,59,100,1.03,CA,1718023556
42,hassi messaoud,31.6804,6.0729,44.92,7,0,4.12,DZ,1718023735
43,gukovo,48.0531,39.9311,28.89,36,92,1.73,RU,1718023735
44,ust-nera,64.5667,143.2,9.4,42,80,0.74,RU,1718023735
45,sinop,41.7711,34.8709,24.24,47,1,3.8,TR,1718023676
46,dudinka,69.4058,86.1778,10.93,69,4,2.68,RU,1718023735
47,praia da vitoria,38.7333,-27.0667,21.14,73,75,3.53,PT,1718023735
48,lazaro cardenas,17.9583,-102.2,25.45,76,100,1.53,MX,1718023483
49,aral,40.5156,81.2636,32.4,15,26,4.93,CN,1718023735
50,edinburgh of the seven seas,-37.0676,-12.3116,12.85,64,98,9.8,SH,1718023615
51,pangody,65.85,74.4859,21.32,42,100,6.41,RU,1718023735
52,nar'yan-mar,67.6713,53.087,8.39,52,71,0.89,RU,1718023735
53,acarau,-2.8856,-40.12,28.37,65,78,6.42,BR,1718023527
54,bredasdorp,-34.5322,20.0403,21.08,47,0,2.74,ZA,1718023735
55,kudahuvadhoo,2.6708,72.8944,28.83,74,100,5.71,MV,1718023735
56,vilyuchinsk,52.9306,158.4028,14.15,82,57,2.96,RU,1718023735
57,gornozavodsk,58.3758,58.3211,20.3,47,91,3.67,RU,1718023735
58,susuman,62.7833,148.1667,6.64,59,18,1.88,RU,1718023735
59,west island,-12.1568,96.8225,25.99,94,75,7.2,CC,1718023735
60,arraial do cabo,-22.9661,-42.0278,24.92,73,0,2.57,BR,1718023469
61,fair oaks ranch,29.7458,-98.6434,24.85,100,100,2.06,US,1718023735
62,dolores,-36.3132,-57.6792,13.58,58,38,4.27,AR,1718023735
63,ljusdal,61.8288,16.0913,10.91,78,100,3.43,SE,1718023699
64,beaufort west,-32.3567,22.583,19.74,25,0,5.83,ZA,1718023736
65,keflavik,64.0049,-22.5624,12.95,50,0,4.63,IS,1718023649
66,anadyr,64.75,177.4833,7.28,87,100,0.0,RU,1718023736
67,mount gambier,-37.8333,140.7667,15.08,56,100,7.1,AU,1718023689
68,wailua homesteads,22.0669,-159.378,23.44,81,20,5.66,US,1718023736
69,kiunga,-6.1219,141.2906,23.54,99,92,1.76,PG,1718023625
70,whitehorse,60.7161,-135.0538,9.43,54,75,3.09,CA,1718023736
71,mubi,10.2676,13.2644,32.94,44,93,3.91,NG,1718023736
72,fisterra,42.9049,-9.2629,16.28,69,1,11.63,ES,1718023736
73,yellowknife,62.456,-114.3525,11.9,81,75,1.54,CA,1718023736
74,kidal,18.4411,1.4078,43.56,10,17,3.13,ML,1718023736
75,margate,51.3813,1.3862,14.27,69,100,5.36,GB,1718023736
76,afaahiti,-17.75,-149.2833,22.93,84,100,4.6,PF,1718023736
77,zhangye,38.9342,100.4517,26.46,18,100,5.0,CN,1718023736
78,minas de marcona,-15.2119,-75.1103,11.87,83,67,2.12,PE,1718023736
79,general acha,-37.377,-64.6043,12.38,48,8,2.24,AR,1718023736
80,jilin,43.0,126.0,17.34,73,0,2.18,CN,1718023736
81,trairi,-3.2778,-39.2689,27.75,68,5,5.43,BR,1718023574
82,hawaiian paradise park,19.5933,-154.9731,21.73,94,100,0.0,US,1718023736
83,mogocha,53.7333,119.7667,9.54,94,60,1.65,RU,1718023736
84,queenstown,-31.8976,26.8753,17.13,27,0,3.22,ZA,1718023629
85,georgetown,5.4112,100.3354,29.97,74,20,2.06,MY,1718023443
86,fort bragg,35.139,-79.006,22.33,82,100,2.06,US,1718023686
87,hecun,36.5333,114.1111,31.76,25,100,3.05,CN,1718023737
88,ouro preto do oeste,-10.7481,-62.2158,25.68,56,10,1.3,BR,1718023737
89,tazovsky,67.4667,78.7,14.06,52,100,5.4,RU,1718023737
90,atafu village,-8.5421,-172.5159,28.15,79,21,6.76,TK,1718023737
91,invercargill,-46.4,168.35,4.45,93,67,4.92,NZ,1718023737
92,longyearbyen,78.2186,15.6401,7.91,61,0,0.0,SJ,1718023737
93,stanley,54.868,-1.6985,12.5,63,40,6.17,GB,1718023648
94,kodiak,57.79,-152.4072,6.73,100,100,9.77,US,1718023641
95,puerto ayora,-0.7393,-90.3518,21.97,98,91,3.56,EC,1718023638
96,port douglas,-16.4833,145.4667,19.31,79,100,2.15,AU,1718023737
97,concepcion del uruguay,-32.4825,-58.2372,14.99,90,0,2.68,AR,1718023737
98,kapa'a,22.0752,-159.319,24.18,82,20,5.66,US,1718023737
99,igarka,67.4667,86.5833,11.12,79,3,3.13,RU,1718023737
100,tralee,52.2704,-9.7026,15.14,58,75,3.09,IE,1718023737
101,isafjordur,66.0755,-23.124,5.02,81,40,4.63,IS,1718023645
102,nizhneudinsk,54.9076,99.0276,14.38,75,50,1.98,RU,1718023737
103,carutapera,-1.195,-46.02,26.55,93,90,3.48,BR,1718023696
104,coronel dorrego,-38.7187,-61.2873,10.09,63,11,3.65,AR,1718023737
105,college,64.8569,-147.8028,17.99,60,75,0.0,US,1718023738
106,carnarvon,-24.8667,113.6333,20.99,71,73,5.05,AU,1718023634
107,omu-aran,8.1333,5.1,30.72,53,73,3.59,NG,1718023738
108,sur,22.5667,59.5289,34.87,47,0,1.56,OM,1718023738
109,morrope,-6.5417,-80.0111,19.06,76,45,3.68,PE,1718023738
110,forest,37.3638,-79.2897,22.2,62,0,2.57,US,1718023738
111,flying fish cove,-10.4217,105.6791,26.82,89,100,4.63,CX,1718023738
112,fort st. john,56.2499,-120.8529,6.94,93,75,2.57,CA,1718023738
113,villa gesell,-37.2639,-56.973,10.59,74,100,5.06,AR,1718023738
114,axim,4.8699,-2.2405,28.19,77,98,5.51,GH,1718023738
115,nova sintra,14.8667,-24.7167,23.12,84,0,10.43,CV,1718023738
116,qaqortoq,60.7167,-46.0333,9.8,70,100,3.6,GL,1718023738
117,graham,47.0529,-122.2943,10.6,88,100,2.06,US,1718023738
118,sinabang,2.4803,96.3801,27.61,79,100,1.81,ID,1718023738
119,port mathurin,-19.6833,63.4167,24.2,83,14,8.89,MU,1718023738
120,kiffa,16.6166,-11.4045,42.19,17,100,4.65,MR,1718023738
121,millbrook,32.4799,-86.3619,26.09,84,0,1.54,US,1718023739
122,olyokminsk,60.3736,120.4264,15.9,66,92,1.27,RU,1718023680
123,slantsy,59.1182,28.0914,17.79,50,100,4.8,RU,1718023739
124,cidreira,-30.1811,-50.2056,21.56,73,9,3.65,BR,1718023739
125,sisimiut,66.9395,-53.6735,2.57,80,100,2.48,GL,1718023739
126,vadso,70.0744,29.7487,9.49,87,75,11.83,NO,1718023739
127,enewetak,11.3474,162.3373,28.21,83,100,7.33,MH,1718023739
128,papatowai,-46.5619,169.4708,4.99,88,48,5.91,NZ,1718023739
129,lebu,-37.6167,-73.65,12.89,87,100,10.54,CL,1718023535
130,valera,9.3178,-70.6036,28.29,62,25,1.77,VE,1718023739
131,mount isa,-20.7333,139.5,8.87,76,6,0.0,AU,1718023739
132,vorgashor,67.5833,63.95,2.11,96,100,3.65,RU,1718023739
133,sungailiat,-1.85,106.1333,27.28,85,100,2.85,ID,1718023739
134,wenchang,30.904,118.4887,21.78,92,98,2.48,CN,1718023739
135,jamestown,42.097,-79.2353,12.77,89,100,3.6,US,1718023492
136,bilibino,68.0546,166.4372,9.63,62,100,0.71,RU,1718023739
137,pandan,14.0453,124.1694,27.75,86,0,3.02,PH,1718023739
138,iskateley,67.6803,53.1512,8.34,52,69,0.89,RU,1718023708
139,hamilton,39.1834,-84.5333,18.27,72,0,4.63,US,1718023621
140,betio village,1.358,172.9211,29.02,75,13,4.88,KI,1718023740
141,udachny,66.4167,112.4,21.36,32,57,3.17,RU,1718023740
142,konarka,19.9,86.1167,33.22,83,0,8.43,IN,1718023740
143,rikaze,29.25,88.8833,22.04,23,64,5.41,CN,1718023740
144,san antonio de pale,-1.4014,5.6325,24.76,81,84,4.87,GQ,1718023649
145,coahuayana de hidalgo,18.7,-103.6583,22.73,80,100,1.1,MX,1718023740
146,obihiro,42.9172,143.2044,14.22,97,59,0.31,JP,1718023740
147,shakawe,-18.3667,21.85,26.6,22,5,3.92,BW,1718023740
148,chaman,30.9236,66.4512,34.06,5,0,1.45,PK,1718023740
149,aasiaat,68.7098,-52.8699,0.4,79,100,0.74,GL,1718023740
150,newman,37.3138,-121.0208,16.13,83,0,1.79,US,1718023537
151,sekong,-6.3996,106.0252,24.46,97,22,0.52,ID,1718023740
152,ceeldheer,3.8488,47.1806,29.79,52,34,12.28,SO,1718023740
153,mulayjah,27.271,48.4242,46.66,7,0,4.85,SA,1718023740
154,duong dong,10.2167,103.9667,28.0,83,40,2.57,VN,1718023740
155,aoulef,26.9667,1.0833,44.54,7,10,2.29,DZ,1718023705
156,san luis de la loma,17.2706,-100.8939,26.22,69,99,3.7,MX,1718023741
157,flin flon,54.7682,-101.865,8.91,87,40,1.54,CA,1718023741
158,vernal,40.4555,-109.5287,17.59,54,0,2.24,US,1718023478
159,lhokseumawe,5.1801,97.1507,27.76,80,100,1.16,ID,1718023741
160,oranjemund,-28.55,16.4333,26.02,31,7,5.19,NA,1718023741
161,ancud,-41.8697,-73.8203,11.22,86,100,8.44,CL,1718023679
162,portland,45.5234,-122.6762,12.99,86,100,2.57,US,1718023560
163,tura,25.5198,90.2201,27.03,85,7,2.28,IN,1718023658
164,klyuchi,52.2667,79.1667,30.52,38,40,2.34,RU,1718023741
165,manacapuru,-3.2997,-60.6206,27.37,78,23,1.83,BR,1718023741
166,cabo san lucas,22.8909,-109.9124,23.49,75,0,2.25,MX,1718023497
167,coari,-4.085,-63.1414,26.27,82,90,0.29,BR,1718023741
168,barhi,23.9,80.8,40.12,19,0,1.9,IN,1718023741
169,tucurui,-3.7661,-49.6725,28.4,73,20,2.07,BR,1718023742
170,vila franca do campo,37.7167,-25.4333,20.23,99,99,2.53,PT,1718023742
171,fort mcmurray,56.7268,-111.381,8.77,93,100,2.06,CA,1718023742
172,usogorsk,63.4106,48.6872,19.26,40,100,1.29,RU,1718023742
173,tulun,54.5611,100.5792,13.93,76,99,1.49,RU,1718023742
174,copiapo,-27.3667,-70.3333,15.54,52,7,1.85,CL,1718023123
175,hithadhoo,-0.6,73.0833,28.9,69,65,3.74,MV,1718023742
176,kamensk-ural'skiy,56.4185,61.9329,20.51,67,85,5.32,RU,1718023742
177,center,31.5107,-96.4247,26.56,82,0,0.67,US,1718023614
178,lompoc,34.6391,-120.4579,14.45,89,100,5.14,US,1718023681
179,bamboo flat,11.7,92.7167,25.05,88,100,6.17,IN,1718023637
180,kapuskasing,49.4169,-82.4331,3.0,81,100,4.63,CA,1718023731
181,la passe,45.5549,-0.8967,20.13,68,0,6.32,FR,1718023624
182,mildura,-34.2,142.15,13.93,71,98,6.19,AU,1718023537
183,xai-xai,-25.0519,33.6442,22.36,47,43,4.7,MZ,1718023743
184,mahina,-17.5065,-149.489,23.87,88,75,4.63,PF,1718023743
185,solnechnyy,50.7214,136.6319,9.46,96,100,3.84,RU,1718023743
186,bocas del toro,9.3333,-82.25,24.47,79,100,2.11,PA,1718023743
187,port-vila,-17.7338,168.3219,23.78,94,100,1.54,VU,1718023743
188,eirunepe,-6.6603,-69.8736,25.48,86,29,0.32,BR,1718023563
189,concepcion,-36.827,-73.0498,12.89,94,100,6.69,CL,1718023715
190,avarua,-21.2078,-159.775,22.03,64,97,2.06,CK,1718023638
191,port elizabeth,-33.918,25.5701,24.16,41,0,3.6,ZA,1718023639
192,namibe,-15.1961,12.1522,24.73,65,10,6.12,AO,1718023686
193,bay city,43.5945,-83.8889,12.27,73,0,6.17,US,1718023654
194,cabedelo,-6.9811,-34.8339,28.37,69,68,7.39,BR,1718023743
195,alice springs,-23.7,133.8833,8.75,81,0,0.0,AU,1718023638
196,rabigh,22.7986,39.0349,33.42,48,4,9.36,SA,1718023743
197,hereford,52.0568,-2.7148,16.49,72,100,4.66,GB,1718023743
198,campos dos goytacazes,-21.75,-41.3,24.03,73,0,3.6,BR,1718023579
199,miyazaki,31.9111,131.4239,21.97,94,75,2.06,JP,1718023743
200,smithers,54.7804,-127.1743,11.18,71,40,1.03,CA,1718023743
201,mindelo,16.8901,-24.9804,23.31,81,44,10.48,CV,1718023743
202,tindouf,27.6711,-8.1474,30.25,21,0,9.26,DZ,1718023744
203,retreat,38.8245,-85.8533,17.63,72,0,0.89,US,1718023744
204,utrik,11.2278,169.8474,28.28,79,60,8.85,MH,1718023744
205,butzow,53.85,11.9833,17.81,73,100,6.31,DE,1718023744
206,tweed heads,-28.1817,153.547,17.02,63,12,4.12,AU,1718023744
207,mermoz boabab,14.7065,-17.4758,29.31,65,20,4.12,SN,1718023744
208,borgarnes,64.5383,-21.9206,14.89,44,99,1.9,IS,1718023744
209,lianzhou,24.7811,112.3825,24.97,97,100,1.14,CN,1718023744
210,phrai bueng,14.7483,104.3626,27.28,86,100,5.21,TH,1718023744
211,porto franco,-6.3383,-47.3992,32.39,34,35,3.98,BR,1718023744
212,constantia,44.1833,28.65,33.38,59,15,9.43,RO,1718023701
213,tambacounda,13.7539,-13.7586,35.03,41,0,3.09,SN,1718023744
214,dumas,35.8656,-101.9732,18.12,88,100,2.57,US,1718023744
215,antsiranana,-12.2787,49.2917,30.42,45,40,4.12,MG,1718023744
216,tommot,58.9564,126.2925,15.56,66,98,1.08,RU,1718023744
217,sake,-1.5736,29.045,25.34,51,93,1.69,CD,1718023745
218,katsuura,35.1333,140.3,20.17,85,100,3.17,JP,1718023745
219,bardai,11.65,7.2333,34.01,39,4,4.36,NG,1718023745
220,lindley,-27.8791,27.9135,15.46,24,2,1.69,ZA,1718023745
221,sawakin,19.1059,37.3321,36.34,38,0,6.92,SD,1718023745
222,norrtalje,59.758,18.705,13.24,70,100,6.62,SE,1718023745
223,nagqu,31.5,92.0,7.65,66,35,4.89,CN,1718023661
224,tamanrasset,22.785,5.5228,36.95,6,0,6.69,DZ,1718023690
225,nampula,-15.1165,39.2666,24.97,53,40,5.81,MZ,1718023536
226,rongelap,11.1635,166.8941,28.19,82,99,7.87,MH,1718023707
227,farcasele,44.15,24.4333,34.68,27,0,3.95,RO,1718023745
228,chengde,40.9725,117.9361,19.66,67,100,3.22,CN,1718023745
229,severo-yeniseyskiy,60.3725,93.0408,11.99,79,57,0.89,RU,1718023745
230,polyarnyy,69.1989,33.4478,12.51,65,82,3.55,RU,1718023745
231,kulhudhuffushi,6.6221,73.07,28.92,79,100,7.83,MV,1718023746
232,huai'an,33.5886,119.0192,26.7,39,100,5.29,CN,1718023746
233,huilong,31.8111,121.655,21.1,80,74,6.36,CN,1718023746
234,kamina,-8.7386,24.9906,27.55,24,6,3.37,CD,1718023746
235,calabozo,8.9242,-67.4293,24.51,90,100,1.01,VE,1718023746
236,sallisaw,35.4604,-94.7875,22.08,68,0,2.57,US,1718023498
237,valdivia,-39.8142,-73.2459,12.05,91,100,3.43,CL,1718023607
238,rabaul,-4.1967,152.1721,27.36,81,99,2.97,PG,1718023746
239,sao felix do xingu,-6.6447,-51.995,29.9,48,49,2.27,BR,1718023746
240,pacific grove,36.6177,-121.9166,13.16,91,54,3.58,US,1718023746
241,bentiu,9.2333,29.8333,36.42,33,15,1.87,SS,1718023746
242,pisco,-13.7,-76.2167,17.03,88,100,0.0,PE,1718023711
243,eureka,40.8021,-124.1637,13.15,96,81,1.74,US,1718023505
244,senanga,-16.1167,23.2667,27.68,18,3,4.55,ZM,1718023746
245,miedzychod,52.5988,15.897,21.57,43,90,3.77,PL,1718023746
246,ndende,-2.4008,11.3581,33.33,44,12,1.29,GA,1718023746
247,aydarken,39.9443,71.3429,20.68,28,48,2.03,KG,1718023746
248,bokakhat,26.6333,93.6,29.66,75,10,2.44,IN,1718023746
249,troitsko-pechorsk,62.7084,56.1964,18.16,51,90,3.13,RU,1718023746
250,kargasok,59.0556,80.8572,20.54,36,16,4.92,RU,1718023747
251,tiksi,71.6872,128.8694,1.9,86,34,3.45,RU,1718023747
252,xam nua,20.4197,104.0439,21.37,98,100,1.15,LA,1718023747
253,haiku-pauwela,20.9219,-156.3051,23.36,86,100,8.75,US,1718023652
254,kuanda,56.3161,116.0806,13.95,64,27,0.96,RU,1718023747
255,ulsteinvik,62.3432,5.8487,12.95,82,100,4.02,NO,1718023747
256,bereket,39.2446,55.5154,41.6,10,1,2.6,TM,1718023747
257,port sudan,19.6175,37.2164,35.22,37,0,6.51,SD,1718023747
258,la tuque,47.4334,-72.7824,13.14,88,100,2.06,CA,1718023747
259,soriano nel cimino,42.4187,12.2334,23.81,66,75,6.17,IT,1718023747
260,bataipora,-22.2953,-53.2711,26.92,37,4,3.88,BR,1718023747
261,talnakh,69.4865,88.3972,10.67,87,53,2.81,RU,1718023747
262,bayganin,48.6947,55.8742,29.92,29,67,4.82,KZ,1718023747
263,hirara,24.8,125.2833,26.92,94,75,3.09,JP,1718023747
264,chonchi,-42.6128,-73.8092,10.44,94,100,4.32,CL,1718023621
265,olonkinbyen,70.9221,-8.7187,-1.34,88,100,7.46,SJ,1718023747
266,essaouira,31.5125,-9.77,23.72,64,75,4.63,MA,1718023747
267,nemuro,43.3236,145.575,10.88,96,100,7.95,JP,1718023659
268,bouna,9.2667,-3.0,35.74,38,48,3.33,CI,1718023747
269,yangambi,0.8102,24.4336,28.78,55,84,2.72,CD,1718023748
270,cradock,-32.1642,25.6192,18.04,31,0,5.06,ZA,1718023748
271,cockburn town,21.4612,-71.1419,27.6,85,97,6.96,TC,1718023643
272,severoural'sk,60.1533,59.952,21.1,48,100,4.17,RU,1718023748
273,bam,29.106,58.357,35.93,6,0,8.28,IR,1718023748
274,ormond-by-the-sea,29.3491,-81.0665,28.93,78,0,4.12,US,1718023748
275,sao jose da coroa grande,-8.8978,-35.1478,27.34,70,43,6.48,BR,1718023748
